t_sec,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint1_master_err,joint2_master_err,joint3_master_err,joint4_master_err,joint5_master_err,joint6_master_err
10.815494,0.0012146107572173666,0.11919041471526637,-0.6129224723050862,-0.02413183412218834,0.16020841488680143,-0.014456075354294764,0.0012146107572173666,-0.0758671706607627,0.04290020634577174,-0.02413183412218834,-0.291155976061773,-0.014456075354294764
10.817329,0.0013310605443588382,0.11912730042715039,-0.6128726349101091,-0.024119156573001104,0.16016561498648463,-0.014457278648758379,0.0013310605443588382,-0.07593028494887868,0.042950043740748844,-0.024119156573001104,-0.2911987759620898,-0.014457278648758379
10.819197,0.001448045107576856,0.11906528544580512,-0.612822380524776,-0.024106539986813707,0.16012380403828677,-0.01445872366929586,0.001448045107576856,-0.07599229993022395,0.04300029812608197,-0.024106539986813707,-0.29124058691028765,-0.01445872366929586
10.820985,0.0015656088400191979,0.11900494892319236,-0.6127713235786177,-0.02409412572515944,0.16008367270394297,-0.014460612488596453,0.0015656088400191979,-0.07605263645283672,0.04305135507224023,-0.02409412572515944,-0.2912807182446315,-0.014460612488596453
10.822818,0.0016837519509435833,0.11894630394168668,-0.6127194607901673,-0.02408191784426515,0.16004524609810794,-0.014462949986812757,0.0016837519509435833,-0.0761112814343424,0.04310321786069071,-0.02408191784426515,-0.2913191448504665,-0.014462949986812757
10.824699,0.0018024695276887763,0.11888929811154944,-0.6126668325492345,-0.024069904483238043,0.16000847176918953,-0.014465718281876589,0.0018024695276887763,-0.07616828726447963,0.043155846101623485,-0.024069904483238043,-0.2913559191793849,-0.014465718281876589
10.826527,0.0019217562166254994,0.11883387353033897,-0.6126134823903713,-0.024058072409735124,0.15997329016319564,-0.014468897621706167,0.0019217562166254994,-0.07590141800832073,0.043147866744714936,-0.024058072409735124,-0.29119150552564566,-0.014468897621706167
10.828398,0.002041447471705288,0.11877263546477786,-0.6125621832191952,-0.024045059840496624,0.1599321558196785,-0.014470624474726195,0.002041447471705288,-0.07596265607388185,0.043199165915891014,-0.024045059840496624,-0.29123263986916276,-0.014470624474726195
10.830362,0.0021616672215988278,0.11871243918091692,-0.6125105054556282,-0.024032097673768713,0.15989196023688718,-0.014472578281906744,0.0021616672215988278,-0.07602285235774278,0.04325084367945797,-0.024032097673768713,-0.2912728354519541,-0.014472578281906744
10.832395,0.0022824614092697656,0.11865386625892047,-0.6124580627903098,-0.024019328253261703,0.15985340212858692,-0.01447496216972461,0.0022824614092697656,-0.07608142527973924,0.043303286344776426,-0.024019328253261703,-0.2913113935602544,-0.01447496216972461
10.834318,0.0024038303744857883,0.11859693203808973,-0.6124048501345776,-0.024006756139749445,0.1598165089813469,-0.01447778178639361,0.0024038303744857883,-0.07613835950056998,0.04335649900050864,-0.024006756139749445,-0.29134828670749435,-0.01447778178639361
10.836473,0.002525769168130766,0.11854158627524547,-0.6123509060265361,-0.023994369902963532,0.15978122997808003,-0.014481019953594831,0.002525769168130766,-0.0758772554660917,0.043349037194707174,-0.023994369902963532,-0.29118640873176244,-0.014481019953594831
10.838238,0.0026482723830950333,0.11848777311562977,-0.6122962722233716,-0.023982156716282083,0.1597475070573163,-0.01448465758654614,0.0026482723830950333,-0.07593106862570739,0.04340367099787168,-0.023982156716282083,-0.29122013165252614,-0.01448465758654614
10.83995,0.0027711670867985507,0.1184282492254969,-0.6122436396532206,-0.023968780901928624,0.15970789572745459,-0.014486869913297357,0.0027711670867985507,-0.07599059251584027,0.04345630356802266,-0.023968780901928624,-0.2912597429823879,-0.014486869913297357
10.841704,0.0028945851841743627,0.11836973139164465,-0.6121906507245302,-0.02395544999709826,0.15966919654866019,-0.014489301838305428,0.0028945851841743627,-0.07604911034969251,0.04350929249671309,-0.02395544999709826,-0.2912984421611823,-0.014489301838305428
10.843405,0.0030185730340943876,0.11831278933641641,-0.6121369280903064,-0.023942303858661154,0.15963209949304089,-0.014492152561498535,0.0030185730340943876,-0.07610605240492076,0.043563015130936855,-0.023942303858661154,-0.29133553921680155,-0.014492152561498535
10.845176,0.0031431309746616032,0.11825743871372585,-0.6120824662344904,-0.02392934709275046,0.15959663224794168,-0.014495427826764029,0.0031431309746616032,-0.07616140302761132,0.04361747698675289,-0.02392934709275046,-0.2913710064619008,-0.014495427826764029
10.847045,0.003268254007900346,0.11820363097661148,-0.6120273022145202,-0.023916568603577784,0.15956274522055747,-0.01449911100750855,0.003268254007900346,-0.0759005923286664,0.04361040163200025,-0.023916568603577784,-0.2912076950394083,-0.01449911100750855
10.849129,0.0033939366748162,0.1181513120568972,-0.6119714762504751,-0.023903955919413255,0.15953038164900474,-0.014503183599919568,0.0033939366748162,-0.07595291124838068,0.043666227596045326,-0.023903955919413255,-0.29124005861096103,-0.014503183599919568
10.851073,0.003519995769893515,0.11809329834518842,-0.6119176316769419,-0.023890182672259813,0.1594921047576404,-0.014505836542452188,0.003519995769893515,-0.07601092496008946,0.04372007216957852,-0.023890182672259813,-0.2912783355023254,-0.014505836542452188
10.853083,0.003646572695621927,0.11803625402958505,-0.6118634521913149,-0.023876448435808693,0.15945471040045628,-0.014508701276757163,0.003646572695621927,-0.07606796927569283,0.04377425165520554,-0.023876448435808693,-0.2913157298595095,-0.014508701276757163
10.855147,0.0037737148502308753,0.1179807446648029,-0.6118085643074928,-0.023862892454502297,0.15941888902116727,-0.014511975756129784,0.0037737148502308753,-0.07612347864047497,0.04382913953902767,-0.023862892454502297,-0.2913515512387985,-0.014511975756129784
10.857189,0.0039014226340950116,0.1179267868319741,-0.6117529617559169,-0.023849519539100295,0.15938466935355997,-0.014515666033095908,0.0039014226340950116,-0.07586032813999549,0.04382078843854453,-0.023849519539100295,-0.2911857954471674,-0.014515666033095908
10.858938,0.004029690997354168,0.1178743334580765,-0.6116966803466096,-0.023836318884458297,0.15935200288111734,-0.014519755954590317,0.004029690997354168,-0.0759127815138931,0.04387706984785178,-0.023836318884458297,-0.29121846191961,-0.014519755954590317
10.860789,0.00415832352907173,0.11781616150361333,-0.6116423527561295,-0.023821955235260123,0.15931335681652664,-0.014522427110119683,0.00415832352907173,-0.07597095346835626,0.043931397438331854,-0.023821955235260123,-0.2912571079842007,-0.014522427110119683
10.862589,0.004287473282879492,0.1177589719781631,-0.6115876743114179,-0.02380763604507903,0.15927561500047674,-0.01452531907107498,0.004287473282879492,-0.0760281429938065,0.043986075883043485,-0.02380763604507903,-0.29129484980025055,-0.01452531907107498
10.864547,0.004417189261432905,0.11770333226945481,-0.611532271936287,-0.02379350143172677,0.159239476319531,-0.014528630594053803,0.004417189261432905,-0.07608378270251479,0.044041478258174394,-0.02379350143172677,-0.2913309884811963,-0.014528630594053803
10.866491,0.004547471810148405,0.11764925846858551,-0.6114761400874728,-0.02377955608699921,0.15920496940023454,-0.01453236749368314,0.004547471810148405,-0.07582846745252789,0.0440340091053244,-0.02377955608699921,-0.29116918781526846,-0.01453236749368314
10.868768,0.004678315634271236,0.11759670276725695,-0.6114193153072575,-0.023765788976555718,0.1591720446385767,-0.014536513267631916,0.004678315634271236,-0.07588102315385645,0.04409083388553969,-0.023765788976555718,-0.2912021125769263,-0.014536513267631916
10.87108,0.004809517273491188,0.11753863264538396,-0.6113643367804069,-0.023750898328831746,0.15913331311472712,-0.01453929779241508,0.004809517273491188,-0.07593909327572944,0.04414581241239024,-0.023750898328831746,-0.2912408441007759,-0.01453929779241508
