t_sec,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,int_0,int_1,int_2,int_3,int_4,int_5
2.91146,0.019999721254877166,9.104209187472747e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.912797,0.01999990243918018,3.1864732154479124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.914967,0.019981374720397824,6.129825537992289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.916345,0.019993481045071048,2.1454389382962937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9187,0.01999771835266974,7.5090362840205705e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.920093,0.01999920142182954,2.6281626993724925e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.921813,0.019999720497443797,9.198569447455341e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.923601,0.019981276327993076,6.20804113166139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.925609,0.01999344661868855,2.1728143960796933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.927299,0.019997706304777322,7.604850386292185e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.929252,0.019999197205231446,2.6616976351715037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.930844,0.019999719021654573,9.315941723044216e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.933625,0.019999901657557478,3.2605796030437436e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.934989,0.019981146717809914,6.297103134892038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.936709,0.019993401265240834,2.2039860972118307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.938452,0.019997690432308934,7.713951340213748e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.940252,0.019999191650019166,2.699882969083935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.941983,0.019999717077348846,9.449590391756991e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.943885,0.01998094637434996,6.410024381668979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
