t_sec,mount_tx_pos,mount_ty_pos,mount_tz_pos,mount_rx_pos,mount_ry_pos,mount_rz_pos
20.778999,0.0,0.0,0.0,0.0,0.0,0.0
20.780804,0.0,0.0,0.0,0.0,0.0,0.0
20.782611,0.0,0.0,0.0,0.0,0.0,0.0
20.784447,0.0,0.0,0.0,0.0,0.0,0.0
20.786324,0.0,0.0,0.0,0.0,0.0,0.0
20.788166,0.0,0.0,0.0,0.0,0.0,0.0
20.789991,0.0,0.0,0.0,0.0,0.0,0.0
20.791827,0.0,0.0,0.0,0.0,0.0,0.0
20.79366,0.0,0.0,0.0,0.0,0.0,0.0
20.795492,0.0,0.0,0.0,0.0,0.0,0.0
20.797338,0.0,0.0,0.0,0.0,0.0,0.0
20.799163,0.0,0.0,0.0,0.0,0.0,0.0
20.800995,0.0,0.0,0.0,0.0,0.0,0.0
20.802772,0.0,0.0,0.0,0.0,0.0,0.0
20.804664,0.0,0.0,0.0,0.0,0.0,0.0
20.806506,0.0,0.0,0.0,0.0,0.0,0.0
20.808382,0.0,0.0,0.0,0.0,0.0,0.0
20.810188,0.0,0.0,0.0,0.0,0.0,0.0
20.811946,0.0,0.0,0.0,0.0,0.0,0.0
20.813871,0.0,0.0,0.0,0.0,0.0,0.0
20.815634,0.0,0.0,0.0,0.0,0.0,0.0
20.817509,0.0,0.0,0.0,0.0,0.0,0.0
20.819323,0.0,0.0,0.0,0.0,0.0,0.0
20.821181,0.0,0.0,0.0,0.0,0.0,0.0
20.82297,0.0,0.0,0.0,0.0,0.0,0.0
20.824804,0.0,0.0,0.0,0.0,0.0,0.0
20.826716,0.0,0.0,0.0,0.0,0.0,0.0
20.828436,0.0,0.0,0.0,0.0,0.0,0.0
20.830339,0.0,0.0,0.0,0.0,0.0,0.0
20.83206,0.0,0.0,0.0,0.0,0.0,0.0
20.833999,0.0,0.0,0.0,0.0,0.0,0.0
20.83583,0.0,0.0,0.0,0.0,0.0,0.0
20.83764,0.0,0.0,0.0,0.0,0.0,0.0
20.839446,0.0,0.0,0.0,0.0,0.0,0.0
20.841335,0.0,0.0,0.0,0.0,0.0,0.0
20.843089,0.0,0.0,0.0,0.0,0.0,0.0
20.845003,0.0,0.0,0.0,0.0,0.0,0.0
20.846824,0.0,0.0,0.0,0.0,0.0,0.0
20.848653,0.0,0.0,0.0,0.0,0.0,0.0
20.850416,0.0,0.0,0.0,0.0,0.0,0.0
20.852246,0.0,0.0,0.0,0.0,0.0,0.0
20.854149,0.0,0.0,0.0,0.0,0.0,0.0
20.855994,0.0,0.0,0.0,0.0,0.0,0.0
20.857805,0.0,0.0,0.0,0.0,0.0,0.0
20.859674,0.0,0.0,0.0,0.0,0.0,0.0
20.861475,0.0,0.0,0.0,0.0,0.0,0.0
20.863333,0.0,0.0,0.0,0.0,0.0,0.0
20.865144,0.0,0.0,0.0,0.0,0.0,0.0
20.866998,0.0,0.0,0.0,0.0,0.0,0.0
20.86876,0.0,0.0,0.0,0.0,0.0,0.0
20.870655,0.0,0.0,0.0,0.0,0.0,0.0
20.872449,0.0,0.0,0.0,0.0,0.0,0.0
20.874331,0.0,0.0,0.0,0.0,0.0,0.0
20.876114,0.0,0.0,0.0,0.0,0.0,0.0
20.878258,0.0,0.0,0.0,0.0,0.0,0.0
20.879801,0.0,0.0,0.0,0.0,0.0,0.0
20.881601,0.0,0.0,0.0,0.0,0.0,0.0
20.883476,0.0,0.0,0.0,0.0,0.0,0.0
20.885319,0.0,0.0,0.0,0.0,0.0,0.0
20.887169,0.0,0.0,0.0,0.0,0.0,0.0
20.888996,0.0,0.0,0.0,0.0,0.0,0.0
20.890769,0.0,0.0,0.0,0.0,0.0,0.0
20.892568,0.0,0.0,0.0,0.0,0.0,0.0
