t_sec,joint1_pos,joint1_master_err,joint2_pos,joint2_master_err,joint3_pos,joint3_master_err,joint4_pos,joint4_master_err,joint5_pos,joint5_master_err,joint6_pos,joint6_master_err
0.075477,0.05039519380468146,0.05039519380468146,0.5251242275304794,0.101311186053682,-0.7261624873455019,-0.2780508609335167,0.346903525007737,0.346903525007737,0.5211174202468755,0.008750634537666113,-0.3336467504537508,-0.3336467504537508
0.07731,0.05049741859466068,0.05049741859466068,0.525417292276537,0.10160425079973961,-0.726442499784076,-0.27833087337209084,0.3470008628910577,0.3470008628910577,0.5210790670506303,0.008712281341420991,-0.3336236745893467,-0.3336236745893467
0.079145,0.05059985567470421,0.05059985567470421,0.5257033757894931,0.101336398972112,-0.7267200350563181,-0.2785112850474797,0.3470968731019057,0.3470968731019057,0.5210391227966521,0.008534752720058214,-0.3335996606212504,-0.3335996606212504
0.080989,0.050774154361841836,0.050774154361841836,0.5261306096538383,0.10176363283645717,-0.727329984407708,-0.2791212343988696,0.34817453506470114,0.34817453506470114,0.5212646527666089,0.008760282690015053,-0.3345923762578018,-0.3345923762578018
0.082812,0.050881751469710655,0.050881751469710655,0.5264471401223937,0.10208016330501257,-0.7276407579101429,-0.2794320079013045,0.3483536264884631,0.3483536264884631,0.5212505647249509,0.00874619464835702,-0.3346528711735665,-0.3346528711735665
0.084654,0.0509826066847093,0.0509826066847093,0.5267451491918358,0.10237817237445468,-0.7279176493143563,-0.2797088993055179,0.3484371511520689,0.3484371511520689,0.521209748516058,0.008705378439464062,-0.3346147115898855,-0.3346147115898855
0.086478,0.051083821102155175,0.051083821102155175,0.527035990466482,0.10266901364910086,-0.7281924221078618,-0.2799836720990234,0.34852084509787884,0.34852084509787884,0.5211676870856881,0.008663317009094174,-0.33457721770793936,-0.33457721770793936
0.088311,0.05118616757800563,0.05118616757800563,0.5273213071239831,0.10237512441006424,-0.7284688335425937,-0.2801575734546485,0.34861566579503495,0.34861566579503495,0.5211273486694055,0.008479193690354436,-0.3345517090068222,-0.3345517090068222
0.090147,0.051289665302122985,0.051289665302122985,0.5276015598618319,0.10265537714791306,-0.7287472808712624,-0.28043602078331714,0.3487224223009844,0.3487224223009844,0.5210890049803709,0.008440850001319888,-0.33453897565164215,-0.33453897565164215
0.091992,0.05146777705469724,0.05146777705469724,0.5280315050734504,0.1030853223595316,-0.7293736155301296,-0.28106235544218433,0.3498525879196831,0.3498525879196831,0.5213279646239874,0.00867980964493642,-0.3355857425340871,-0.3355857425340871
0.093814,0.05157648505770217,0.05157648505770217,0.5283449868681681,0.10339880415424929,-0.7296871066946836,-0.28137584660673837,0.3500454950921987,0.3500454950921987,0.5213167261622885,0.008668571183237495,-0.33566045735831196,-0.33566045735831196
0.095645,0.051678069482684816,0.051678069482684816,0.5286394538019862,0.10369327108806736,-0.7299650296647113,-0.2816537695767661,0.35013780377645976,0.35013780377645976,0.5212774282863057,0.008629273307254715,-0.3356313061817851,-0.3356313061817851
0.097493,0.05177991272497601,0.05177991272497601,0.5289268785790091,0.10398069586509029,-0.7302405841837603,-0.281929324095815,0.3502292996059471,0.3502292996059471,0.5212366702522059,0.00858851527315485,-0.3356017770955406,-0.3356017770955406
0.099299,0.05188282462468122,0.05188282462468122,0.529208967672219,0.10369287652111742,-0.7305176997820603,-0.2821046165276651,0.35033144239947067,0.35033144239947067,0.5211975568855652,0.00840800027258748,-0.3355837090528927,-0.3355837090528927
0.101171,0.051986831870028734,0.051986831870028734,0.5294861790063109,0.10397008785520928,-0.7307967944749354,-0.28238371122054023,0.35044511731645744,0.35044511731645744,0.5211603787545266,0.008370822141548828,-0.33557797315260374,-0.33557797315260374
0.102991,0.05216371967147659,0.05216371967147659,0.5299121073257169,0.1043960161746153,-0.7314180762806742,-0.2830049930262791,0.35156197255047456,0.35156197255047456,0.5213955129089765,0.008605956295998696,-0.3366103794135388,-0.3366103794135388
0.104823,0.05227274438154004,0.05227274438154004,0.5302223000192052,0.10470620886810361,-0.7317315841018561,-0.28331850084746096,0.351759687546231,0.351759687546231,0.5213848798560291,0.008595323243051345,-0.3366898649036295,-0.3366898649036295
0.10659,0.05237478290384989,0.05237478290384989,0.5305137270975703,0.10499763594646866,-0.7320100822048315,-0.2835969989504364,0.35185862797730116,0.35185862797730116,0.521346669966948,0.008557113353970247,-0.33666739661650535,-0.33666739661650535
0.108489,0.052477052288984846,0.052477052288984846,0.5307982944638884,0.10471362834169984,-0.7322862298209053,-0.2837706091114494,0.35195664165309437,0.35195664165309437,0.5213070098785416,0.008376456150826717,-0.3366444166017793,-0.3366444166017793
0.110323,0.0526516654902922,0.0526516654902922,0.5312317083518393,0.10514704222965077,-0.7329033714584597,-0.28438775074900385,0.35305126838695133,0.35305126838695133,0.5215384831697512,0.008607929442036255,-0.337652662978096,-0.337652662978096
0.112147,0.05275899336250629,0.05275899336250629,0.5315482524777858,0.10546358635559727,-0.7332134045872012,-0.2846977838777453,0.3532325341874738,0.3532325341874738,0.5215250331634753,0.008594479435760416,-0.33771421109289745,-0.33771421109289745
0.114,0.05285948526544306,0.05285948526544306,0.5318455905997784,0.10576092447758989,-0.7334885662689669,-0.28497294555951097,0.35331628941489956,0.35331628941489956,0.5214842143237248,0.008553660596009927,-0.3376751970338991,-0.3376751970338991
0.11582,0.05296030164993756,0.05296030164993756,0.5321357294459897,0.10605106332380121,-0.7337614520760852,-0.28524583136662934,0.3533998155154599,0.3533998155154599,0.5214420703875381,0.008511516659823193,-0.3376364535018747,-0.3376364535018747
0.117581,0.05306222337485734,0.05306222337485734,0.5324203865706554,0.10633572044846684,-0.7340359189592834,-0.28552029824982755,0.3534942618561011,0.3534942618561011,0.5214016369303267,0.008471083202611807,-0.33760948860044043,-0.33760948860044043
0.119572,0.05316527143907913,0.05316527143907913,0.5327000278283173,0.10604480146582301,-0.734312376085773,-0.2856928983771153,0.353600466746395,0.353600466746395,0.5213631938144608,0.008291223942897274,-0.3375951220159735,-0.3375951220159735
