t_sec,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,int_0,int_1,int_2,int_3,int_4,int_5
11.377983,0.024118217107198005,0.010783504506259707,0.016596091184880854,-0.021995213197119622,-0.01128001011331653,0.14868217998596325,0.05374571322314346,0.02484977859911253,-0.24900952845987703,-0.009552159867451292,-0.09615835592055384
11.380451,0.024193359516745637,0.01072543913131617,0.016527168994550562,-0.021938859726923835,-0.01140983396911583,0.14849245744870299,0.05371528359412807,0.02485584981506902,-0.24897228794120888,-0.009562454853017485,-0.09614810246535378
11.383285,0.02430272378891565,0.010763260093655656,0.016458234057004296,-0.021882495834107233,-0.011539681835944386,0.14830239463434525,0.053684791041118916,0.024861900539502615,-0.24893480972440252,-0.00957275156724176,-0.09613781047088406
11.385262,0.02441587697021351,0.010811222096431226,0.016389286726331363,-0.021826121808187042,-0.011669553046829213,0.14811192078520927,0.053654226064083356,0.024867932033254242,-0.24889709191852585,-0.009583056377210944,-0.09612749385472939
11.389207,0.02452919279040184,0.010859195413287679,0.01632032735662111,-0.02176973793868052,-0.011799446934797245,0.14792103563668232,0.05362358815138223,0.024873944395484272,-0.24885913484276848,-0.009593368765770981,-0.09611715161865081
11.391562,0.024605398042195775,0.010801399051825068,0.01625135630196288,-0.021713344515104913,-0.011929362832875434,0.14773040256558256,0.05359297195448767,0.0248799250062951,-0.24882096004050763,-0.00960361932120101,-0.09610663360985741
11.394682,0.02471507922950738,0.010838954230700948,0.016182373916445985,-0.021656941826977458,-0.012059300074090777,0.14753943233551703,0.053562293137443005,0.024885885046750805,-0.24878254791618346,-0.009613870504759654,-0.09609607539896028
11.397167,0.02482846265793421,0.010886610146525448,0.01611338055415978,-0.021600530163815412,-0.0121892579914702,0.1473480525001489,0.05353154225840101,0.024891825792821603,-0.2487438966717049,-0.009624128501582752,-0.09608549052416908
11.399728,0.024905621769704456,0.010829693092108584,0.016044376569193577,-0.021544109815136003,-0.01231923591804071,0.14715693564429075,0.053500812996551995,0.024897734472104464,-0.24870502678763237,-0.009634326293812966,-0.09607473385786292
11.402388,0.025015857807942368,0.010868205185459967,0.015975362315636718,-0.02148768107045649,-0.01244923318682925,0.14696547570470414,0.05347002082809767,0.024903622550940335,-0.2486659194162552,-0.009644524916361159,-0.09606393802959777
11.404917,0.02512973620725102,0.01091681236434559,0.01590633814757855,-0.02143124421929412,-0.012579249130862766,0.14677359897541092,0.05343915629943784,0.024909491337240252,-0.24862657286178325,-0.009654730370940098,-0.09605311619087727
11.408019,0.02524375049247789,0.010965430545231115,0.01583730441910838,-0.021374799551166127,-0.012709283083168259,0.14658130530990912,0.05340821890666715,0.024915340931047737,-0.2485869874639608,-0.009664942130958051,-0.09604226731440765
11.411344,0.025322362951314365,0.01090997782548411,0.015768261484315562,-0.021318347355589767,-0.012839334376772656,0.14638927937707108,0.05337730165197809,0.02492115840367156,-0.24854718270351417,-0.00967509532840281,-0.09603125076018929
11.413393,0.02543286726389998,0.010948278645906867,0.01569920969728941,-0.02126188792208227,-0.012969402344702965,0.14619691314848998,0.05334632170544923,0.02492695522058932,-0.24850714090231144,-0.009685248242110549,-0.09602019334161335
11.416292,0.02554687727910345,0.010996501812834831,0.01563014941211927,-0.02120542154016089,-0.013099486319986128,0.14600413231098475,0.05331526980565502,0.0249327326867367,-0.24846686048550895,-0.009695406598196258,-0.09600910762722674
11.419281,0.0256263247159181,0.010941590729898289,0.015561080982894479,-0.021148948499342884,-0.013229585635649084,0.14581163141921621,0.05328423808476683,0.024938477705973173,-0.24842635989640718,-0.009705507839771877,-0.09599785783439525
11.421428,0.02573729110538169,0.010980739520225555,0.015492004763704353,-0.021092469089145475,-0.013359699624718842,0.14561878468937092,0.0532531434502706,0.02494420204504225,-0.2483856221988426,-0.009715608855118915,-0.09598656790673042
11.424478,0.02585170858780516,0.011029833889577735,0.015422921108638254,-0.021035983599085935,-0.01348982762022232,0.14542551637808526,0.05322197661836712,0.02494990704225574,-0.24834464591636438,-0.009725715197943439,-0.09597525004912603
11.426948,0.02596623430582374,0.011078929895194673,0.015353830371785473,-0.020979492318681472,-0.013619968955186544,0.1452318265390698,0.05319073710415235,0.02495559279579939,-0.24830343140613984,-0.009735826334550942,-0.09596390321079541
11.430207,0.02604696538057245,0.011025108332634728,0.015284732907235372,-0.02092299553744936,-0.013750122962638438,0.14503842306927087,0.053159516492448586,0.024961246030977786,-0.24826199613418548,-0.009745881774201798,-0.0959523959246835
11.432939,0.026158104378874322,0.011063961487394662,0.01521562906907729,-0.020866493544906845,-0.013880288975604942,0.14484467732336645,0.053128233244883784,0.024966878529453427,-0.24822032428198265,-0.009755935792559702,-0.09594084661787873
11.434821,0.026272568336682837,0.011112621739255263,0.015146519211400537,-0.02080998663057115,-0.014010466327113079,0.1446505128174688,0.05309687825191156,0.024972491628287515,-0.2481784144861175,-0.009765993688073514,-0.09592926695569183
11.437831,0.026387131840358385,0.011161291836488594,0.015077403688294466,-0.020753475083959545,-0.014140654350189762,0.14445592983047909,0.053065451037659736,0.02497808542120807,-0.24813626709829806,-0.009776054951152472,-0.09591765593910977
11.440795,0.026468747146382633,0.011107492415100121,0.015008282853848386,-0.020696959194589252,-0.014270852377862006,0.14426164735360014,0.05303404244397519,0.024983646477424157,-0.24809389854857708,-0.009786061324124939,-0.0959058867869917
11.443805,0.026580006686503746,0.01114600898802157,0.014939157062151653,-0.020640439251977533,-0.014401059743156738,0.14406702630884244,0.053002571588815606,0.024989186720455872,-0.24805129394437325,-0.009796065103054101,-0.095894073781572
11.446061,0.02669450572117015,0.01119431315140643,0.0148700266672936,-0.020583915545641634,-0.014531275779100912,0.14387198919505237,0.052971029430073535,0.024994707500152574,-0.24800845201535382,-0.009806071401849645,-0.09588222820305743
11.44917,0.026776806172827787,0.011140679618399856,0.014800892023363536,-0.020527388365098785,-0.014661499818721536,0.1436772667308547,0.0529395061606664,0.025000195181175376,-0.24796538819417896,-0.009816024128605777,-0.09587022782557839
