t_sec,world_pos_err_m,world_orient_err_rad,base_pos_err_m,base_orient_err_rad,solve_time_us
0.097649,0.008081392118880688,0.04073186881575585,0.008450796794177921,0.04248414562493006,20.0
0.099988,0.007708468988871083,0.03892127186909725,0.008085261448579607,0.04070828499682499,21.0
0.10201,0.007362356895491665,0.03727721979144424,0.007726709986537545,0.03898266367322591,20.0
0.103374,0.007038811498449047,0.035641474893274426,0.007382515886997428,0.037277658600756255,18.0
0.105413,0.00673565471033079,0.03407479386947371,0.0070625188962679915,0.03563510856957043,21.0
0.107273,0.006452277332416169,0.032581496192064914,0.0067637924245992015,0.034068078708792054,16.0
0.10987,0.006187622984526682,0.03115909687620844,0.0064850598152874335,0.0325752664957067,21.0
0.11143,0.005971992364967804,0.029889165054776894,0.006256024596502269,0.031241218358823312,26.0
0.113677,0.005748785692632247,0.02860663440575757,0.006024872767982668,0.029891933091676887,20.0
0.115671,0.005536979128328746,0.027376357662397027,0.005803167601130772,0.028600555597344143,21.0
0.117777,0.005338863751598331,0.02620385252151997,0.005595600961322984,0.027369830411191755,21.0
0.11942,0.005153999599044218,0.025087418893284745,0.005402100506269071,0.026197955313953757,19.0
0.121566,0.005040367398621894,0.0241166887386064,0.00527522248370518,0.0251944990276024,71.0
0.123695,0.004888476617886827,0.02311325034312231,0.005126772083975762,0.024122333456252733,24.0
0.125897,0.0047402988513256345,0.02214839396070179,0.004973706187398263,0.02310761962631744,21.0
0.127444,0.004601150067835145,0.02122898539420385,0.00482907158317361,0.022142197656173732,22.0
0.129604,0.004471161496219921,0.02035398933841225,0.004694019511564174,0.02122359183939587,26.0
0.131601,0.004434479647768122,0.019621911278125796,0.0046424651112672325,0.02049037853929373,23.0
0.133439,0.004331026479088427,0.01883898571453971,0.004551784332374298,0.01963102380295913,22.0
0.135224,0.004225073328409564,0.018083599179610145,0.004444219354073174,0.018833993277419372,21.0
0.137636,0.004124751717671783,0.017363931702312832,0.004340768995467534,0.018077907800317317,24.0
0.139452,0.004030691069511687,0.016679498208247392,0.004243699086302242,0.017359245044937275,32.0
0.141442,0.01163262902846131,0.10241061511008752,0.012917119663834336,0.1134319157727196,29.0
0.143305,0.004310534433398548,0.026670358127155576,0.0029952025181421114,0.017062734148032645,27.0
0.14571,0.005947704234134358,0.024395414379008336,0.004492127869772096,0.017335956638024806,26.0
0.147266,0.005965958160510961,0.02334346595483895,0.006044033888279038,0.023239100691673228,25.0
0.149416,0.005771091536787668,0.022358399720682345,0.006047899195449687,0.023237392738377424,25.0
0.15086,0.011860241095236188,0.11011183568845369,0.013485158346588191,0.11981919662434173,26.0
0.153003,0.005967996372254633,0.03232114354561862,0.00379964781571136,0.024732571222118836,26.0
0.154942,0.007825950326471393,0.030029254741944053,0.006124981565339338,0.022533853299268474,24.0
0.156861,0.007739478911035943,0.02871519212389993,0.00789976585141289,0.028871008042784512,23.0
0.158879,0.00742812850238696,0.027469532725429745,0.007801110893507055,0.028625307537236203,24.0
0.161304,0.012349084389359985,0.11685457681319979,0.014222896930381987,0.12531570437155168,24.0
0.162865,0.007584403016109556,0.03736771737461121,0.005104665877478671,0.031596537971904,26.0
0.165191,0.009470080839540086,0.03497674551718512,0.007724079039064445,0.027396677257598406,23.0
0.167097,0.009286840803638943,0.03343104502988786,0.009531424318470103,0.03381788287022338,25.0
0.168848,0.00887630277916622,0.031959076417908044,0.009337137493688136,0.03334869925582635,28.0
0.171263,0.012946912079590473,0.12279855229773622,0.015001171515572443,0.13007117216229383,27.0
0.172811,0.009010968600501289,0.04181028382539926,0.00637663770905459,0.037706565371140914,23.0
0.174729,0.010873740980176003,0.03928709042098367,0.009139198142771256,0.03174683880407115,23.0
0.176529,0.01060692583176431,0.037538944397616285,0.010927414752116085,0.038126526096784616,23.0
0.178487,0.010113154133513673,0.035871241316146704,0.01065024072969425,0.037459655838236655,21.0
0.180593,0.01356492211921057,0.12792433645032936,0.015752457969929273,0.13420245879757292,23.0
0.182764,0.01023471938224108,0.04554690336441805,0.007501339025301549,0.04269727219773568,22.0
0.184123,0.01206134303976918,0.042965459744346804,0.010354766911512428,0.03537916707966221,37.0
0.186259,0.011723781335950142,0.04104442399040645,0.01210992330915028,0.04180462173903189,20.0
0.188107,0.011160435439591736,0.03920658166380393,0.011762491087693795,0.04097105743183605,20.0
0.190425,0.20944666859229455,1.334829363209607,0.2119860309554519,1.3268004204097008,21.0
0.192254,0.02211270454292383,0.17701230217949515,0.020874540540631342,0.1906583014065379,22.0
0.194025,0.009657228341106496,0.04016956878074301,0.010387179771248423,0.044614243769893286,32.0
0.196814,0.009069713559128851,0.03671909452163691,0.010234516922486978,0.029759664381765555,35.0
0.198897,0.00856287308112138,0.03510391488577804,0.009082163435381199,0.03598967170757061,38.0
0.200171,0.008143719824779109,0.033550689809560864,0.008542899998707193,0.034854628279658344,30.0
0.202132,0.007747279190529466,0.03221751593814599,0.00812096814714818,0.03333777494352546,28.0
0.203986,0.007392683061070006,0.030817806662042473,0.007737507582198057,0.032034271498304505,29.0
0.206301,0.007062383824303387,0.029468827203756306,0.007388055766545823,0.030639174687390133,26.0
0.207808,0.0067539010594768285,0.02818211823263674,0.00706271035345541,0.029291787588120934,27.0
0.209974,0.006465870714869586,0.02695649206370344,0.006759293345284183,0.0280064044285139,40.0
0.2119,0.006215806010184292,0.025943158915773947,0.006497011417743941,0.026779872883980833,25.0
0.21361,0.005972394062591499,0.024844351289986855,0.006241264060455154,0.02576762235092133,24.0
0.215734,0.005743100656758702,0.023781905492586238,0.006000907777472872,0.024670321156388352,24.0
0.217786,0.005528876259863566,0.02276851190425596,0.005776505265774638,0.023609394260573843,23.0
0.219853,0.005329064440727568,0.021803662143771257,0.005567460296696502,0.022597637147218737,22.0
0.221441,0.005192758597710131,0.02104527006275759,0.005418537570019406,0.021661700599190228,25.0
0.223777,0.0050282991700415025,0.020184435724969217,0.005255282101951669,0.0208782656413459,25.0
0.22568,0.0048693393275334495,0.019348411846018407,0.005091036012845555,0.0200162216379224,22.0
0.227199,0.004720272436686953,0.01855101725369519,0.004936319984042522,0.019181755360638042,20.0
0.229678,0.004581083588893512,0.01779230228727701,0.004791976853804732,0.018386389020531642,22.0
0.23153,0.004530946068956794,0.017237320815119445,0.004726853117371497,0.017692009215463305,20.0
0.233144,0.004420012836398258,0.01656478501419025,0.004628401524309069,0.017080942920563755,21.0
0.235292,0.004307555552533847,0.015907751526449538,0.0045144688033186475,0.016403988851588197,19.0
0.237084,0.004201200595797651,0.015281114066228665,0.004405158014513784,0.015748559518196748,18.0
0.239002,0.004101498384734517,0.014685380705187281,0.004302638966684338,0.015124408708792616,20.0
0.240986,0.012774181445882878,0.10823438153166852,0.013743854695372558,0.11181187630582314,22.0
0.243031,0.004464152859508427,0.024594893033086228,0.003498312531108078,0.026071187007936588,21.0
0.244826,0.0061531472337759885,0.021332487212158635,0.004520427750681054,0.015413726917003838,20.0
0.246717,0.006163543202276985,0.020398090399826187,0.0062304040350358416,0.020088141334589506,22.0
0.248827,0.005958105306643235,0.019534321723521573,0.006235170682358329,0.020233456839713032,20.0
0.250732,0.012959447174856014,0.11615931134965259,0.0143409751035077,0.11904384816905854,21.0
0.252846,0.0061982123464800355,0.030083833620985472,0.004166320450570269,0.030820656882528726,23.0
0.254756,0.008117586690262807,0.02758897707099937,0.006266921469378057,0.019747533826098524,21.0
0.256711,0.008020031093295153,0.02637662987194628,0.00817930865797162,0.026382701095294076,36.0
0.258623,0.007694569065327862,0.025212594178113553,0.008076050842086456,0.02628218874212195,27.0
0.260092,0.013409508466014975,0.12314672646598283,0.015102301620001776,0.12538339127362602,21.0
0.262954,0.007877401668659672,0.035883316798810606,0.005407574271430112,0.03626106385377631,20.0
0.264578,0.009828295163976316,0.03370599200599725,0.00794938471963495,0.025410358298878704,19.0
0.266526,0.009631247863175488,0.03221270432950266,0.009881392607019507,0.0325453867667299,23.0
0.269338,0.009203622423637125,0.030762161370087932,0.00967855953554866,0.03215612951838372,21.0
0.270424,0.013977102627520534,0.1293915140003971,0.01590067066215898,0.13095284597627538,22.0
0.272852,0.009356864223641528,0.04131321543253487,0.00666973337445359,0.04187281148988723,23.0
0.274821,0.011286170142685572,0.0392342471634288,0.009429518409745409,0.03091028868360037,23.0
0.276526,0.011003129980394977,0.03748425277740299,0.011333939753982251,0.038107029309482954,18.0
0.278266,0.010489689462696999,0.03577809627337363,0.011045062373960983,0.03744928113049849,22.0
0.280047,0.01457379967083818,0.13495273731997978,0.01666969898078059,0.13583100073096765,18.0
0.282503,0.0106258376466747,0.04619322074988526,0.0078060586549181694,0.04717366317974912,23.0
0.284276,0.012519489963024127,0.04411052626304731,0.010698070042518826,0.035883823801663814,21.0
0.285964,0.012163472468721084,0.042133005093529075,0.012563689164486533,0.04300620371572364,21.0
0.287843,0.01157814031650174,0.040203021388562035,0.012201829495708923,0.042111056090102524,20.0
0.289846,0.010998605351111594,0.038358993760181224,0.011617775788057103,0.040311167210577245,21.0
0.292331,0.01045648307415307,0.036530955569657984,0.011048217817622876,0.0384770190012518,21.0
0.293949,0.009946858394257165,0.034853525827548346,0.010506286724221985,0.03665412642216467,24.0
0.295971,0.009468061292263349,0.03326327493316729,0.009998465852254404,0.034977539528708086,27.0
0.298209,0.00901886758568187,0.03174963112076441,0.009522202737100152,0.03338755498863741,24.0
0.29937,0.008597639993787433,0.03030828766060505,0.009075720300505071,0.031874157796542124,22.0
0.302034,0.008229332570604824,0.02887233612571564,0.008681484017769085,0.030448883622563344,24.0
0.303317,0.00786525749453868,0.027562826075280874,0.008300052614072677,0.02899656910730514,22.0
